000100 6.37248 0 5 8 10 10
000102 6.4982 0.2 5.2 8.2 10.2 10.2
000104 6.62216 0.4 5.4 8.4 10.4 10.4
000107 6.807 0.7 5.7 8.7 10.7 10.7
000109 6.92536 0.9 5.9 8.9 10.9 10.9
000112 7.10774 1.2 6.2 8.2 11.2 11.2
000114 7.2262 0.4 5.4 8.4 11.4 11.4
000117 7.40624 0.7 5.7 8.7 11.7 11.7
000120 7.58834 1 6 9 12 12
000123 7.77228 1.3 6.3 9.3 12.3 12.3
000125 7.89488 1.5 6.5 9.5 12.5 12.5
000128 8.07394 0.8 6.8 9.8 12.8 12.8
000131 8.2526 1.1 7.1 10.1 13.1 13.1
000134 8.42776 1.4 7.4 10.4 13.4 13.4
000138 8.6644 1.8 6.8 10.8 13.8 13.8
000141 8.84048 1.1 7.1 10.1 14.1 14.1
000144 9.01644 1.4 7.4 10.4 14.4 14.4
000147 9.1913 1.7 7.7 10.7 14.7 14.7
000151 9.42168 1.1 8.1 11.1 14.1 15.1
000154 9.5936 1.4 8.4 11.4 14.4 15.4
000158 9.82948 1.8 7.8 11.8 14.8 15.8
000162 10.06724 2.2 8.2 12.2 15.2 16.2
000165 10.24124 1.5 8.5 12.5 15.5 16.5
000169 10.46836 1.9 8.9 11.9 15.9 16.9
000173 10.69644 2.3 9.3 12.3 16.3 17.3
000177 10.92436 2.7 9.7 12.7 16.7 17.7
000181 11.14838 2.1 9.1 13.1 17.1 18.1
000186 11.42608 2.6 9.6 13.6 17.6 18.6
000190 11.64874 3 10 14 18 19
000194 11.8775 2.4 10.4 14.4 18.4 19.4
000199 12.162 2.9 9.9 13.9 18.9 19.9
000204 12.4411 3.4 10.4 14.4 19.4 20.4
000208 12.6699 2.8 10.8 14.8 18.8 20.8
000213 12.9427 3.3 11.3 15.3 19.3 21.3
000218 13.21374 3.795 10.8 15.8 19.8 21.8
000223 13.47968 3.3 11.3 16.3 20.3 22.3
000229 13.7972 2.9 11.9 15.9 20.9 21.9
000234 14.0645 3.4 11.4 16.4 21.4 22.4
000239 14.33062 3.9 11.9 16.9 21.9 22.9
000245 14.65032 3.5 12.5 17.5 22.5 23.5
000251 14.96588 4.1 13.1 17.1 23.1 24.1
000257 15.2776 3.7 12.7 17.7 22.7 24.7
000263 15.58454 4.3 13.3 18.3 23.3 25.3
000269 15.89466 3.9 13.9 18.9 23.9 25.9
000275 16.2002 4.5 13.5 19.5 24.5 26.5
000281 16.50264 4.1 14.1 19.1 25.1 27.1
000288 16.85624 4.8 14.8 19.8 25.8 26.8
000295 17.20388 4.5 14.5 20.5 26.5 27.5
000301 17.49758 4.1 15.1 20.1 26.105 28.1
000309 17.8901 4.9 14.9 20.9 26.9 28.9
000316 18.22206 4.6 15.6 21.6 27.6 29.6
000323 18.55534 4.3 15.3 21.3 28.3 30.3
000331 18.93234 5.1 16.1 22.1 29.1 31.1
000338 19.26114 4.8 15.8 22.8 28.8 31.8
000346 19.6365 4.6 16.6 22.6 29.6 31.6
000354 19.99812 5.4 17.4 23.4 30.4 32.4
000363 20.39994 5.3 17.3 24.3 31.3 33.3
000371 20.7629 5.1 17.1 24.1 32.1 34.1
000380 21.15574 5 18 25 32 34
000389 21.54108 4.9 17.9 24.9 32.9 34.9
000398 21.93132 5.795 18.8 25.8 33.8 35.8
000407 22.31452 5.7 18.7 26.7 34.7 36.7
000416 22.68778 5.6 18.6 26.6 34.6 37.6
000426 23.09926 5.6 19.6 27.6 35.6 37.6
000436 23.50086 5.6 19.6 27.6 36.6 38.6
000446 23.90174 5.6 19.6 28.6 37.6 39.6
000457 24.32328 5.7 20.7 28.7 37.7 40.7
000467 24.71234 5.7 20.7 29.7 38.7 40.7
000478 25.13044 5.8 20.8 29.8 39.8 41.8
000489 25.54096 6.9 20.9 29.9 39.9 42.9
000501 25.98302 6.1 21.1 31.1 41.1 44.1
000512 26.3855 6.2 22.2 31.2 41.2 44.2
000524 26.8058 6.4 22.4 32.4 42.4 45.4
000537 27.271 6.7 22.7 32.7 43.7 46.7
000549 27.68874 6.9 22.9 32.9 43.9 47.9
000562 28.12708 6.2 23.2 33.2 45.2 48.2
000575 28.55886 6.5 23.5 34.5 45.5 49.5
000588 28.9776 6.8 23.8 34.8 46.8 50.8
000602 29.41618 7.2 24.2 35.2 47.2 51.2
000616 29.85386 6.6 24.6 35.6 48.6 51.6
000630 30.29002 7 25 36 49 53
000645 30.74404 7.5 24.5 36.5 50.5 53.5
000660 31.17248 7 25 37 51 55
000676 31.62414 7.6 25.6 38.6 52.6 55.6
000691 32.0262 7.1 26.1 39.1 53.1 57.1
000707 32.44208 6.7 25.7 38.7 53.7 57.7
000724 32.88154 7.4 26.4 39.4 55.4 59.4
000741 33.29908 7.1 26.1 40.1 56.1 60.1
000758 33.71464 7.795 26.8 40.8 56.8 61.8
000776 34.14032 7.595 27.6 41.6 58.6 62.6
000794 34.54916 7.4 27.4 42.4 59.4 63.4
000812 34.94958 7.2 27.2 42.2 60.2 64.2
000831 35.36558 7.1 28.1 43.1 61.1 66.1
000851 35.7822 7.1 28.1 43.1 62.1 67.1
000870 36.16644 7 28 44 63 69
000891 36.57274 7.1 29.1 44.1 65.1 69.1
000912 36.96548 7.2 29.2 45.2 66.2 71.2
000933 37.34582 7.3 29.3 45.3 67.3 72.3
000954 37.71818 7.4 29.4 46.4 68.4 73.4
000977 38.11558 7.7 29.7 46.7 68.7 74.7
001000 38.50344 8 30 47 70 76
001023 38.87126 7.3 30.3 47.3 71.3 78.3
