1047	21.7663	-15.3	7.7	31.7	71.7	79.7
1071	21.98006	-15.9	7.1	32.1	73.1	81.1
1096	22.20518	-16.4	7.6	32.6	74.6	81.6005
1122	22.44212	-15.8	7.2	32.2	76.2	84.2
1148	22.66988	-17.2	6.8	32.8	77.8	84.8005
1174	22.88508	-16.6	7.4	32.4	79.4	87.4
1202	23.12666	-16.8	7.2	33.2	80.2	89.2
1230	23.37024	-18	7	33	82	90.0005
1258	23.59388	-18.2	6.8	32.8	83.8	92.8
1288	23.82938	-18.2	6.8	32.8	84.8	93.8
1318	24.0671	-18.2	6.8	33.8	86.8	95.8
1348	24.3233	-18.2	6.8	33.8	87.8	97.8
1380	24.5824	-19	7	34	90	99
1412	24.84586	-18.8	7.2	33.45	91.2	101.2
1445	25.11196	-19.5	6.5	33.5	93.5	103.5
1479	25.37114	-20.1	6.9	33.9	94.9	105.9
1513	25.63114	-19.7	6.3	34.3	97.3	107.3
1548	25.91802	-20.2	6.8	34.8	98.8	109.8
1584	26.21494	-20.6	6.4	34.4	101.4	111.4
1621	26.50016	-20.9	6.1	34.1	103.1	113.1
1659	26.7894	-21.1	6.9	34.9	104.9	114.9
1698	27.09588	-21.2	6.8	34.8	106.8	116.8005
1737	27.38888	-21.305	6.7	34.7	109.7	119.7
1778	27.70802	-22.2	6.8	34.8	111.8	121.8
1819	28.0128	-22.105	5.9	34.9	113.9	124.9
1862	28.33386	-22.8	6.2	35.2	116.2	127.2
1905	28.67534	-23.5	6.5	35.5	118.5	129.5
1949	29.0056	-24.1	5.9	35.9	120.9	131.9
1995	29.3696	-23.5	5.5	36.5	123.5	134.5
2041	29.71608	-23.9	6.1	36.1	126.1	136.1005
2089	30.08472	-25.1	5.9	35.9	127.905	138.9005
2137	30.4532	-25.3	5.7	36.7	130.7	142.7
2187	30.83766	-25.3	5.7	36.7	133.7	145.7
2238	31.205	-25.205	5.8	36.8	135.8	147.8005
2290	31.59502	-26	6	37	139	151
2344	31.99922	-26.6	5.4	37.4	142.4	153.4
2398	32.39142	-27.2	5.8	37.8	144.8	155.8
2454	32.80062	-27.6	5.4	37.4	147.4	159.4
2511	33.22678	-27.9	5.1	38.1	151.1	162.1
2570	33.65608	-29	5	38	154	166
2630	34.0875	-29	5	38	157.005	169
2691	34.5276	-29.9	5.1	38.1	160.105	172.1005
2754	34.99378	-29.6	5.15	38.4	164.4	176.4
2818	35.4494	-30.2	4.8	38.8	167.8	179.8
2884	35.9376	-30.6	4.4	39.4	171.4	183.4
2951	36.4103	-30.9	5.1	39.1	175.1	188.1
3019	36.8892	-32.1	4.9	39.9	177.9	191.9
3090	37.39754	-32	5	39	182	195
3162	37.91658	-32.8	4.2	40.2	186.2	199.2
3235	38.43572	-33.5	4.5	40.5	189.5	202.5
3311	38.96684	-32.905	4.1	40.1	194.1	206.1005
3388	39.5035	-34.2	3.8	40.8	197.8	210.8
3467	40.0718	-34.3	3.7	40.7	202.7	214.7
3548	40.61658	-35.2	3.8	40.8	206.8	218.8
3630	41.2078	-36	4	41	211	222
3715	41.80808	-36.5	3.5	41.5	215.5	227.5
3801	42.39782	-36.9	4.1	41.1	220.1	232.1
3890	43.02232	-37	4	42	225	238
3981	43.65576	-37.9	4.1	42.1	230.1	241.1005
4073	44.28808	-38.7	3.3	42.3	234.3	248.3
4168	44.941	-39.2	3.8	42.8	239.8	252.8
4265	45.61642	-39.5	3.5	42.5	244.5	256.5005
4365	46.33568	-39.5	3.5	43.5	249.5	262.5
4466	47.02534	-40.4	2.6	43.6	255.6	267.6005
4570	47.76232	-41	3	44	261	274.0005
4677	48.53184	-41.3	2.7	43.7	266.7	279.7005
4786	49.27812	-42.4	2.6	43.6	272.6	285.6
4897	50.03116	-42.305	2.7	44.7	278.7	291.7
5011	50.82716	-42.9	2.1	45.1	285.1	297.1
5128	51.63214	-43.2	2.8	44.8	290.8	303.8
